gene_id,transcript_1,transcript_2,num_junction_T1_only,num_junction_T2_only,num_junction_shared,prop_junction_diff,prop_junction_similar,junction_T1_only,junction_T2_only,junction_shared,num_ER_T1_only,num_ER_T2_only,num_ER_shared,prop_ER_diff,prop_ER_similar,ER_T1_only,ER_T2_only,ER_shared,num_fragment_T1_only,num_fragment_T2_only,num_fragment_shared,prop_fragment_diff,prop_fragment_similar,fragment_T1_only,fragment_T2_only,fragment_shared,num_fragment_singletons_T1_only,num_fragment_singletons_T2_only,num_fragment_singletons_shared,num_IR_fragment_T1,num_IR_fragment_T2,IR_fragment_T1,IR_fragment_T2,num_nt_shared,num_nt_T1_only,num_nt_T2_only,num_nt_diff,total_nt,prop_nt_diff,prop_nt_similar,num_nt_T1_only_in_shared_ER,num_nt_T2_only_in_shared_ER,num_nt_shared_in_shared_ER,total_nt_in_shared_ER,prop_nt_diff_in_shared_ER,prop_nt_similar_in_shared_ER,num_nt_T1_only_in_unique_ER,num_nt_T2_only_in_unique_ER,flag_FSM,flag_IR,flag_5_variation,flag_3_variation,flag_alt_donor_acceptor,flag_alt_exon,flag_no_shared_nt
gene:WBGene00004477,tr_gene:WBGene00004477_2,tr_gene:WBGene00004477_6,1,3,0,1.0,0.0,IV:7313649:7313762:-,IV:7313143:7313209:-|IV:7313495:7313565:-|IV:7313646:7313758:-,,0,2,2,0.5,0.5,,IV:7312985:7313153:-|IV:7313199:7313505:-,IV:7313555:7313659:-|IV:7313748:7313864:-,1,3,2,0.6666666666666666,0.33333333333333337,IV:7313656:7313659:-,IV:7312985:7313153:-|IV:7313199:7313505:-|IV:7313748:7313752:-,IV:7313555:7313656:-|IV:7313752:7313864:-,0,2,0,0,0,,,213,3,478,481,694,0.6930835734870316,0.30691642651296835,3,4,213,220,0.031818181818181815,0.9681818181818181,0,474,0,0,0,1,1,1,0
gene:WBGene00004477,tr_gene:WBGene00004477_3,tr_gene:WBGene00004477_4,1,1,1,0.6666666666666666,0.33333333333333337,IV:7313486:7313565:-,IV:7313493:7313565:-,IV:7313645:7313758:-,0,0,3,0.0,1.0,,,IV:7313199:7313503:-|IV:7313555:7313655:-|IV:7313748:7313864:-,0,1,3,0.25,0.75,,IV:7313496:7313503:-,IV:7313199:7313496:-|IV:7313555:7313655:-|IV:7313748:7313864:-,0,0,2,0,0,,,513,0,7,7,520,0.013461538461538462,0.9865384615384616,0,7,513,520,0.013461538461538462,0.9865384615384616,0,0,0,0,0,0,1,0,0
gene:WBGene00004477,tr_gene:WBGene00004477_3,tr_gene:WBGene00004477_5,0,2,0,1,0,,IV:7313486:7313565:-|IV:7313645:7313758:-,,0,0,1,0.0,1.0,,,IV:7312985:7313864:-,0,3,3,0.5,0.5,,IV:7312985:7313199:-|IV:7313496:7313555:-|IV:7313655:7313748:-,IV:7313199:7313496:-|IV:7313555:7313655:-|IV:7313748:7313864:-,0,0,0,0,2,,IV:7313496:7313555:-|IV:7313655:7313748:-,513,0,366,366,879,0.41638225255972694,0.5836177474402731,0,366,513,879,0.41638225255972694,0.5836177474402731,0,0,0,1,0,1,0,0,0
gene:WBGene00004477,tr_gene:WBGene00004477_3,tr_gene:WBGene00004477_6,2,3,0,1.0,0.0,IV:7313486:7313565:-|IV:7313645:7313758:-,IV:7313143:7313209:-|IV:7313495:7313565:-|IV:7313646:7313758:-,,0,1,3,0.25,0.75,,IV:7312985:7313153:-,IV:7313199:7313505:-|IV:7313555:7313656:-|IV:7313748:7313864:-,0,3,3,0.5,0.5,,IV:7312985:7313153:-|IV:7313496:7313505:-|IV:7313655:7313656:-,IV:7313199:7313496:-|IV:7313555:7313655:-|IV:7313748:7313864:-,0,1,1,0,0,,,513,0,178,178,691,0.2575976845151954,0.7424023154848046,0,10,513,523,0.019120458891013385,0.9808795411089866,0,168,0,0,0,1,1,1,0
gene:WBGene00004477,tr_gene:WBGene00004477_4,tr_gene:WBGene00004477_5,0,2,0,1,0,,IV:7313493:7313565:-|IV:7313645:7313758:-,,0,0,1,0.0,1.0,,,IV:7312985:7313864:-,0,3,3,0.5,0.5,,IV:7312985:7313199:-|IV:7313503:7313555:-|IV:7313655:7313748:-,IV:7313199:7313503:-|IV:7313555:7313655:-|IV:7313748:7313864:-,0,0,0,0,2,,IV:7313503:7313555:-|IV:7313655:7313748:-,520,0,359,359,879,0.40841865756541523,0.5915813424345848,0,359,520,879,0.40841865756541523,0.5915813424345848,0,0,0,1,0,1,0,0,0
gene:WBGene00004477,tr_gene:WBGene00004477_4,tr_gene:WBGene00004477_6,2,3,0,1.0,0.0,IV:7313493:7313565:-|IV:7313645:7313758:-,IV:7313143:7313209:-|IV:7313495:7313565:-|IV:7313646:7313758:-,,0,1,3,0.25,0.75,,IV:7312985:7313153:-,IV:7313199:7313505:-|IV:7313555:7313656:-|IV:7313748:7313864:-,0,3,3,0.5,0.5,,IV:7312985:7313153:-|IV:7313503:7313505:-|IV:7313655:7313656:-,IV:7313199:7313503:-|IV:7313555:7313655:-|IV:7313748:7313864:-,0,1,1,0,0,,,520,0,171,171,691,0.24746743849493488,0.7525325615050651,0,3,520,523,0.0057361376673040155,0.994263862332696,0,168,0,0,0,1,1,1,0
gene:WBGene00004477,tr_gene:WBGene00004477_5,tr_gene:WBGene00004477_6,3,0,0,1,0,IV:7313143:7313209:-|IV:7313495:7313565:-|IV:7313646:7313758:-,,,0,0,1,0.0,1.0,,,IV:7312985:7313864:-,3,0,4,0.42857142857142855,0.5714285714285714,IV:7313153:7313199:-|IV:7313505:7313555:-|IV:7313656:7313748:-,,IV:7312985:7313153:-|IV:7313199:7313505:-|IV:7313555:7313656:-|IV:7313748:7313864:-,0,0,0,3,0,IV:7313153:7313199:-|IV:7313505:7313555:-|IV:7313656:7313748:-,,691,188,0,188,879,0.21387940841865757,0.7861205915813424,188,0,691,879,0.21387940841865757,0.7861205915813424,0,0,0,1,0,0,0,0,0
gene:WBGene00004703,tr_gene:WBGene00004703_1,tr_gene:WBGene00004703_2,1,2,2,0.6,0.4,IV:7790387:7790846:-,IV:7790187:7790254:-|IV:7790735:7790846:-,IV:7790934:7791000:-|IV:7791111:7791184:-,0,1,4,0.2,0.8,,IV:7789846:7790197:-,IV:7790244:7790745:-|IV:7790836:7790944:-|IV:7790990:7791121:-|IV:7791174:7791229:-,0,2,4,0.3333333333333333,0.6666666666666667,,IV:7789846:7790197:-|IV:7790397:7790745:-,IV:7790244:7790397:-|IV:7790836:7790944:-|IV:7790990:7791121:-|IV:7791174:7791229:-,0,1,3,0,0,,,447,0,699,699,1146,0.6099476439790575,0.39005235602094246,0,348,447,795,0.4377358490566038,0.5622641509433962,0,351,0,0,0,1,1,1,0
gene:WBGene00004783,tr_gene:WBGene00004783_1,tr_gene:WBGene00004783_2,7,0,0,1,0,IV:6329643:6329776:+|IV:6330284:6330393:+|IV:6330490:6331516:+|IV:6331936:6332004:+|IV:6332232:6332427:+|IV:6332587:6332955:+|IV:6333198:6333282:+,,,0,0,1,0.0,1.0,,,IV:6329587:6333554:+,7,0,8,0.4666666666666667,0.5333333333333333,IV:6329653:6329766:+|IV:6330294:6330383:+|IV:6330500:6331506:+|IV:6331946:6331994:+|IV:6332242:6332417:+|IV:6332597:6332945:+|IV:6333208:6333272:+,,IV:6329587:6329653:+|IV:6329766:6330294:+|IV:6330383:6330500:+|IV:6331506:6331946:+|IV:6331994:6332242:+|IV:6332417:6332597:+|IV:6332945:6333208:+|IV:6333272:6333554:+,0,0,0,7,0,IV:6329653:6329766:+|IV:6330294:6330383:+|IV:6330500:6331506:+|IV:6331946:6331994:+|IV:6332242:6332417:+|IV:6332597:6332945:+|IV:6333208:6333272:+,,2124,1843,0,1843,3967,0.4645828081673809,0.5354171918326192,1843,0,2124,3967,0.4645828081673809,0.5354171918326192,0,0,0,1,0,0,0,0,0
gene:WBGene00004783,tr_gene:WBGene00004783_1,tr_gene:WBGene00004783_3,7,0,0,1,0,IV:6329643:6329776:+|IV:6330002:6330169:+|IV:6330284:6330393:+|IV:6330490:6331516:+|IV:6331936:6332004:+|IV:6332232:6332427:+|IV:6333198:6333282:+,,,0,0,1,0.0,1.0,,,IV:6329585:6333554:+,7,1,8,0.5,0.5,IV:6329653:6329766:+|IV:6330012:6330159:+|IV:6330294:6330383:+|IV:6330500:6331506:+|IV:6331946:6331994:+|IV:6332242:6332417:+|IV:6333208:6333272:+,IV:6329585:6329587:+,IV:6329587:6329653:+|IV:6329766:6330012:+|IV:6330159:6330294:+|IV:6330383:6330500:+|IV:6331506:6331946:+|IV:6331994:6332242:+|IV:6332417:6333208:+|IV:6333272:6333554:+,0,0,0,7,0,IV:6329653:6329766:+|IV:6330012:6330159:+|IV:6330294:6330383:+|IV:6330500:6331506:+|IV:6331946:6331994:+|IV:6332242:6332417:+|IV:6333208:6333272:+,,2325,1642,2,1644,3969,0.41421012849584277,0.5857898715041572,1642,2,2325,3969,0.41421012849584277,0.5857898715041572,0,0,0,1,1,0,0,0,0
gene:WBGene00004783,tr_gene:WBGene00004783_2,tr_gene:WBGene00004783_3,1,1,6,0.25,0.75,IV:6332587:6332955:+,IV:6330002:6330169:+,IV:6329643:6329776:+|IV:6330284:6330393:+|IV:6330490:6331516:+|IV:6331936:6332004:+|IV:6332232:6332427:+|IV:6333198:6333282:+,0,0,7,0.0,1.0,,,IV:6329585:6329653:+|IV:6329766:6330294:+|IV:6330383:6330500:+|IV:6331506:6331946:+|IV:6331994:6332242:+|IV:6332417:6333208:+|IV:6333272:6333554:+,1,2,9,0.25,0.75,IV:6330012:6330159:+,IV:6329585:6329587:+|IV:6332597:6332945:+,IV:6329587:6329653:+|IV:6329766:6330012:+|IV:6330159:6330294:+|IV:6330383:6330500:+|IV:6331506:6331946:+|IV:6331994:6332242:+|IV:6332417:6332597:+|IV:6332945:6333208:+|IV:6333272:6333554:+,0,0,4,1,1,IV:6330012:6330159:+,IV:6332597:6332945:+,1977,147,350,497,2474,0.20088924818108328,0.7991107518189167,147,350,1977,2474,0.20088924818108328,0.7991107518189167,0,0,0,1,1,0,0,0,0
gene:WBGene00004881,tr_gene:WBGene00004881_1,tr_gene:WBGene00004881_2,1,1,13,0.13333333333333333,0.8666666666666667,IV:6362637:6365376:-,IV:6362644:6365376:-,IV:6365443:6365514:-|IV:6365840:6368139:-|IV:6368198:6368582:-|IV:6368704:6369022:-|IV:6369103:6369181:-|IV:6369303:6369796:-|IV:6370151:6370604:-|IV:6370931:6371002:-|IV:6371855:6371919:-|IV:6371992:6372064:-|IV:6372274:6372343:-|IV:6372535:6372610:-|IV:6372769:6372836:-,0,0,15,0.0,1.0,,,IV:6362394:6362654:-|IV:6365366:6365453:-|IV:6365504:6365850:-|IV:6368129:6368208:-|IV:6368572:6368714:-|IV:6369012:6369113:-|IV:6369171:6369313:-|IV:6369786:6370161:-|IV:6370594:6370941:-|IV:6370992:6371865:-|IV:6371909:6372002:-|IV:6372054:6372284:-|IV:6372333:6372545:-|IV:6372600:6372779:-|IV:6372826:6373087:-,0,1,15,0.0625,0.9375,,IV:6362647:6362654:-,IV:6362394:6362647:-|IV:6365366:6365453:-|IV:6365504:6365850:-|IV:6368129:6368208:-|IV:6368572:6368714:-|IV:6369012:6369113:-|IV:6369171:6369313:-|IV:6369786:6370161:-|IV:6370594:6370941:-|IV:6370992:6371865:-|IV:6371909:6372002:-|IV:6372054:6372284:-|IV:6372333:6372545:-|IV:6372600:6372779:-|IV:6372826:6373087:-,0,0,14,0,0,,,3720,0,7,7,3727,0.0018781862087469815,0.998121813791253,0,7,3720,3727,0.0018781862087469815,0.998121813791253,0,0,0,0,0,0,1,0,0
gene:WBGene00004892,tr_gene:WBGene00004892_1,tr_gene:WBGene00004892_2,6,0,0,1,0,IV:11483404:11483971:-|IV:11484127:11484430:-|IV:11484700:11485369:-|IV:11485728:11485908:-|IV:11486098:11496288:-|IV:11496352:11498092:-,,,0,0,1,0.0,1.0,,,IV:11482667:11498167:-,6,0,7,0.46153846153846156,0.5384615384615384,IV:11483414:11483961:-|IV:11484137:11484420:-|IV:11484710:11485359:-|IV:11485738:11485898:-|IV:11486108:11496278:-|IV:11496362:11498082:-,,IV:11482667:11483414:-|IV:11483961:11484137:-|IV:11484420:11484710:-|IV:11485359:11485738:-|IV:11485898:11486108:-|IV:11496278:11496362:-|IV:11498082:11498167:-,0,0,0,6,0,IV:11483414:11483961:-|IV:11484137:11484420:-|IV:11484710:11485359:-|IV:11485738:11485898:-|IV:11486108:11496278:-|IV:11496362:11498082:-,,1971,13529,0,13529,15500,0.8728387096774194,0.1271612903225806,13529,0,1971,15500,0.8728387096774194,0.1271612903225806,0,0,0,1,0,0,0,0,0
gene:WBGene00004995,tr_gene:WBGene00004995_1,tr_gene:WBGene00004995_2,10,0,0,1,0,IV:8477460:8477533:+|IV:8477627:8477693:+|IV:8477811:8477879:+|IV:8477934:8478036:+|IV:8478079:8478328:+|IV:8478398:8479788:+|IV:8479840:8479988:+|IV:8480146:8480214:+|IV:8480370:8480444:+|IV:8480508:8480574:+,,,0,10,1,0.9090909090909091,0.09090909090909094,,IV:8477181:8477470:+|IV:8477523:8477637:+|IV:8477683:8477821:+|IV:8477869:8477944:+|IV:8478318:8478408:+|IV:8479778:8479850:+|IV:8479978:8480156:+|IV:8480204:8480380:+|IV:8480434:8480518:+|IV:8480564:8480656:+,IV:8478026:8478240:+,1,10,1,0.9166666666666666,0.08333333333333337,IV:8478089:8478240:+,IV:8477181:8477470:+|IV:8477523:8477637:+|IV:8477683:8477821:+|IV:8477869:8477944:+|IV:8478318:8478408:+|IV:8479778:8479850:+|IV:8479978:8480156:+|IV:8480204:8480380:+|IV:8480434:8480518:+|IV:8480564:8480656:+,IV:8478026:8478089:+,0,10,0,0,0,,,63,151,1308,1459,1522,0.9586070959264126,0.04139290407358742,151,0,63,214,0.705607476635514,0.29439252336448596,0,1308,0,0,1,1,1,1,0
gene:WBGene00005007,tr_gene:WBGene00005007_1,tr_gene:WBGene00005007_2,0,1,1,0.5,0.5,,IV:8891962:8892055:+,IV:8892236:8892305:+,0,1,2,0.3333333333333333,0.6666666666666667,,IV:8891465:8891972:+,IV:8892045:8892246:+|IV:8892295:8892743:+,0,2,2,0.5,0.5,,IV:8891465:8891972:+|IV:8892045:8892048:+,IV:8892048:8892246:+|IV:8892295:8892743:+,0,1,1,0,0,,,646,0,510,510,1156,0.4411764705882353,0.5588235294117647,0,3,646,649,0.004622496147919877,0.9953775038520801,0,507,0,0,1,0,1,1,0
gene:WBGene00005019,tr_gene:WBGene00005019_1,tr_gene:WBGene00005019_2,1,1,4,0.3333333333333333,0.6666666666666667,IV:8361201:8361323:+,IV:8361203:8361324:+,IV:8361422:8361636:+|IV:8361772:8361838:+|IV:8362169:8362274:+|IV:8362546:8362619:+,0,0,6,0.0,1.0,,,IV:8361088:8361213:+|IV:8361313:8361432:+|IV:8361626:8361782:+|IV:8361828:8362179:+|IV:8362264:8362556:+|IV:8362609:8363337:+,1,1,6,0.25,0.75,IV:8361313:8361314:+,IV:8361211:8361213:+,IV:8361088:8361211:+|IV:8361314:8361432:+|IV:8361626:8361782:+|IV:8361828:8362179:+|IV:8362264:8362556:+|IV:8362609:8363337:+,0,0,4,0,0,,,1768,1,2,3,1771,0.0016939582156973462,0.9983060417843026,1,2,1768,1771,0.0016939582156973462,0.9983060417843026,0,0,0,0,0,0,1,0,0
gene:WBGene00006438,tr_gene:WBGene00006438_1,tr_gene:WBGene00006438_2,1,3,6,0.4,0.6,IV:9120256:9127204:+,IV:9119158:9119436:+|IV:9119496:9119763:+|IV:9119951:9127204:+,IV:9127265:9127364:+|IV:9127740:9127911:+|IV:9127987:9128494:+|IV:9128678:9129297:+|IV:9129416:9129689:+|IV:9129751:9129893:+,1,3,7,0.36363636363636365,0.6363636363636364,IV:9120202:9120266:+,IV:9119097:9119168:+|IV:9119426:9119506:+|IV:9119753:9119961:+,IV:9127194:9127275:+|IV:9127354:9127750:+|IV:9127901:9127997:+|IV:9128484:9128688:+|IV:9129287:9129426:+|IV:9129679:9129761:+|IV:9129883:9130378:+,1,3,7,0.36363636363636365,0.6363636363636364,IV:9120202:9120266:+,IV:9119097:9119168:+|IV:9119426:9119506:+|IV:9119753:9119961:+,IV:9127194:9127275:+|IV:9127354:9127750:+|IV:9127901:9127997:+|IV:9128484:9128688:+|IV:9129287:9129426:+|IV:9129679:9129761:+|IV:9129883:9130378:+,1,3,7,0,0,,,1493,64,359,423,1916,0.22077244258872653,0.7792275574112735,0,0,1493,1493,0.0,1.0,64,359,0,0,1,0,0,1,0
gene:WBGene00006699,tr_gene:WBGene00006699_1,tr_gene:WBGene00006699_2,1,0,0,1,0,IV:9993336:9994738:-,,,0,1,1,0.5,0.5,,IV:9993209:9993346:-,IV:9994728:9994945:-,0,2,1,0.6666666666666666,0.33333333333333337,,IV:9993209:9993346:-|IV:9994728:9994732:-,IV:9994732:9994945:-,0,1,0,0,0,,,213,0,141,141,354,0.3983050847457627,0.6016949152542372,0,4,213,217,0.018433179723502304,0.9815668202764977,0,137,0,0,0,1,1,1,0
gene:WBGene00006699,tr_gene:WBGene00006699_1,tr_gene:WBGene00006699_3,6,0,0,1,0,IV:9990054:9990149:-|IV:9990434:9990510:-|IV:9991672:9991738:-|IV:9992801:9992868:-|IV:9993152:9993219:-|IV:9993339:9994738:-,,,0,6,1,0.8571428571428571,0.1428571428571429,,IV:9989669:9990064:-|IV:9990139:9990444:-|IV:9990500:9991682:-|IV:9991728:9992811:-|IV:9992858:9993162:-|IV:9993209:9993349:-,IV:9994728:9994945:-,0,7,1,0.875,0.125,,IV:9989669:9990064:-|IV:9990139:9990444:-|IV:9990500:9991682:-|IV:9991728:9992811:-|IV:9992858:9993162:-|IV:9993209:9993349:-|IV:9994728:9994732:-,IV:9994732:9994945:-,0,6,0,0,0,,,213,0,3413,3413,3626,0.9412575841147269,0.05874241588527307,0,4,213,217,0.018433179723502304,0.9815668202764977,0,3409,0,0,0,1,1,1,0
gene:WBGene00006699,tr_gene:WBGene00006699_2,tr_gene:WBGene00006699_3,1,6,0,1.0,0.0,IV:9993336:9994738:-,IV:9990054:9990149:-|IV:9990434:9990510:-|IV:9991672:9991738:-|IV:9992801:9992868:-|IV:9993152:9993219:-|IV:9993339:9994738:-,,0,5,2,0.7142857142857143,0.2857142857142857,,IV:9989669:9990064:-|IV:9990139:9990444:-|IV:9990500:9991682:-|IV:9991728:9992811:-|IV:9992858:9993162:-,IV:9993209:9993349:-|IV:9994728:9994945:-,0,6,2,0.75,0.25,,IV:9989669:9990064:-|IV:9990139:9990444:-|IV:9990500:9991682:-|IV:9991728:9992811:-|IV:9992858:9993162:-|IV:9993346:9993349:-,IV:9993209:9993346:-|IV:9994728:9994945:-,0,5,1,0,0,,,354,0,3272,3272,3626,0.9023717595146167,0.09762824048538332,0,3,354,357,0.008403361344537815,0.9915966386554622,0,3269,0,0,0,1,1,1,0
gene:WBGene00006779,tr_gene:WBGene00006779_1,tr_gene:WBGene00006779_2,15,0,0,1,0,IV:10325115:10325979:-|IV:10326068:10326283:-|IV:10326355:10326578:-|IV:10326634:10327611:-|IV:10327705:10329106:-|IV:10329191:10334136:-|IV:10334159:10337641:-|IV:10337705:10337806:-|IV:10337909:10337980:-|IV:10338055:10338123:-|IV:10338287:10338495:-|IV:10338548:10338866:-|IV:10338912:10338982:-|IV:10339172:10340119:-|IV:10340310:10340494:-,,,0,0,1,0.0,1.0,,,IV:10324333:10340556:-,15,0,16,0.4838709677419355,0.5161290322580645,IV:10325125:10325969:-|IV:10326078:10326273:-|IV:10326365:10326568:-|IV:10326644:10327601:-|IV:10327715:10329096:-|IV:10329201:10334126:-|IV:10334169:10337631:-|IV:10337715:10337796:-|IV:10337919:10337970:-|IV:10338065:10338113:-|IV:10338297:10338485:-|IV:10338558:10338856:-|IV:10338922:10338972:-|IV:10339182:10340109:-|IV:10340320:10340484:-,,IV:10324333:10325125:-|IV:10325969:10326078:-|IV:10326273:10326365:-|IV:10326568:10326644:-|IV:10327601:10327715:-|IV:10329096:10329201:-|IV:10334126:10334169:-|IV:10337631:10337715:-|IV:10337796:10337919:-|IV:10337970:10338065:-|IV:10338113:10338297:-|IV:10338485:10338558:-|IV:10338856:10338922:-|IV:10338972:10339182:-|IV:10340109:10340320:-|IV:10340484:10340556:-,0,0,0,15,0,IV:10325125:10325969:-|IV:10326078:10326273:-|IV:10326365:10326568:-|IV:10326644:10327601:-|IV:10327715:10329096:-|IV:10329201:10334126:-|IV:10334169:10337631:-|IV:10337715:10337796:-|IV:10337919:10337970:-|IV:10338065:10338113:-|IV:10338297:10338485:-|IV:10338558:10338856:-|IV:10338922:10338972:-|IV:10339182:10340109:-|IV:10340320:10340484:-,,2449,13774,0,13774,16223,0.849041484312396,0.150958515687604,13774,0,2449,16223,0.849041484312396,0.150958515687604,0,0,0,1,0,0,0,0,0
gene:WBGene00006780,tr_gene:WBGene00006780_1,tr_gene:WBGene00006780_2,2,3,0,1.0,0.0,IV:5986345:5986528:+|IV:5986658:5987239:+,IV:6003252:6003327:+|IV:6003538:6003878:+|IV:6004024:6004137:+,,3,4,0,1.0,0.0,IV:5985554:5986355:+|IV:5986518:5986668:+|IV:5987229:5987471:+,IV:5998253:6003262:+|IV:6003317:6003548:+|IV:6003868:6004034:+|IV:6004127:6004857:+,,3,4,0,1.0,0.0,IV:5985554:5986355:+|IV:5986518:5986668:+|IV:5987229:5987471:+,IV:5998253:6003262:+|IV:6003317:6003548:+|IV:6003868:6004034:+|IV:6004127:6004857:+,,3,4,0,0,0,,,0,1193,6136,7329,7329,1.0,0.0,0,0,0,0,0,0,1193,6136,0,0,0,0,0,0,1
gene:WBGene00006780,tr_gene:WBGene00006780_1,tr_gene:WBGene00006780_3,1,10,1,0.9166666666666666,0.08333333333333337,IV:5986345:5986528:+,IV:5978407:5978783:+|IV:5979405:5979598:+|IV:5979691:5979880:+|IV:5980151:5981079:+|IV:5981412:5982444:+|IV:5982557:5982623:+|IV:5984446:5984577:+|IV:5984735:5984805:+|IV:5984970:5985102:+|IV:5985160:5986528:+,IV:5986658:5987239:+,1,10,2,0.8461538461538461,0.15384615384615385,IV:5985554:5986355:+,IV:5977777:5978417:+|IV:5978773:5979415:+|IV:5979588:5979701:+|IV:5979870:5980161:+|IV:5981069:5981422:+|IV:5982434:5982567:+|IV:5982613:5984456:+|IV:5984567:5984745:+|IV:5984795:5984980:+|IV:5985092:5985170:+,IV:5986518:5986668:+|IV:5987229:5987471:+,1,10,2,0.8461538461538461,0.15384615384615385,IV:5985554:5986355:+,IV:5977777:5978417:+|IV:5978773:5979415:+|IV:5979588:5979701:+|IV:5979870:5980161:+|IV:5981069:5981422:+|IV:5982434:5982567:+|IV:5982613:5984456:+|IV:5984567:5984745:+|IV:5984795:5984980:+|IV:5985092:5985170:+,IV:5986518:5986668:+|IV:5987229:5987471:+,1,10,2,0,0,,,392,801,4456,5257,5649,0.9306071871127634,0.06939281288723664,0,0,392,392,0.0,1.0,801,4456,0,0,1,0,0,1,0
gene:WBGene00006780,tr_gene:WBGene00006780_1,tr_gene:WBGene00006780_4,2,11,0,1.0,0.0,IV:5986345:5986528:+|IV:5986658:5987239:+,IV:5975856:5976261:+|IV:5976735:5977609:+|IV:5978407:5978783:+|IV:5979405:5979598:+|IV:5979691:5979880:+|IV:5980151:5981079:+|IV:5981412:5982444:+|IV:5982557:5982623:+|IV:5984446:5984577:+|IV:5984735:5984805:+|IV:5984970:5985102:+,,3,12,0,1.0,0.0,IV:5985554:5986355:+|IV:5986518:5986668:+|IV:5987229:5987471:+,IV:5975556:5975866:+|IV:5976251:5976745:+|IV:5977599:5978417:+|IV:5978773:5979415:+|IV:5979588:5979701:+|IV:5979870:5980161:+|IV:5981069:5981422:+|IV:5982434:5982567:+|IV:5982613:5984456:+|IV:5984567:5984745:+|IV:5984795:5984980:+|IV:5985092:5985381:+,,3,12,0,1.0,0.0,IV:5985554:5986355:+|IV:5986518:5986668:+|IV:5987229:5987471:+,IV:5975556:5975866:+|IV:5976251:5976745:+|IV:5977599:5978417:+|IV:5978773:5979415:+|IV:5979588:5979701:+|IV:5979870:5980161:+|IV:5981069:5981422:+|IV:5982434:5982567:+|IV:5982613:5984456:+|IV:5984567:5984745:+|IV:5984795:5984980:+|IV:5985092:5985381:+,,3,12,0,0,0,,,0,1193,5649,6842,6842,1.0,0.0,0,0,0,0,0,0,1193,5649,0,0,0,0,0,0,1
gene:WBGene00006780,tr_gene:WBGene00006780_2,tr_gene:WBGene00006780_3,3,11,0,1.0,0.0,IV:6003252:6003327:+|IV:6003538:6003878:+|IV:6004024:6004137:+,IV:5978407:5978783:+|IV:5979405:5979598:+|IV:5979691:5979880:+|IV:5980151:5981079:+|IV:5981412:5982444:+|IV:5982557:5982623:+|IV:5984446:5984577:+|IV:5984735:5984805:+|IV:5984970:5985102:+|IV:5985160:5986528:+|IV:5986658:5987239:+,,4,12,0,1.0,0.0,IV:5998253:6003262:+|IV:6003317:6003548:+|IV:6003868:6004034:+|IV:6004127:6004857:+,IV:5977777:5978417:+|IV:5978773:5979415:+|IV:5979588:5979701:+|IV:5979870:5980161:+|IV:5981069:5981422:+|IV:5982434:5982567:+|IV:5982613:5984456:+|IV:5984567:5984745:+|IV:5984795:5984980:+|IV:5985092:5985170:+|IV:5986518:5986668:+|IV:5987229:5987471:+,,4,12,0,1.0,0.0,IV:5998253:6003262:+|IV:6003317:6003548:+|IV:6003868:6004034:+|IV:6004127:6004857:+,IV:5977777:5978417:+|IV:5978773:5979415:+|IV:5979588:5979701:+|IV:5979870:5980161:+|IV:5981069:5981422:+|IV:5982434:5982567:+|IV:5982613:5984456:+|IV:5984567:5984745:+|IV:5984795:5984980:+|IV:5985092:5985170:+|IV:5986518:5986668:+|IV:5987229:5987471:+,,4,12,0,0,0,,,0,6136,4848,10984,10984,1.0,0.0,0,0,0,0,0,0,6136,4848,0,0,0,0,0,0,1
gene:WBGene00006780,tr_gene:WBGene00006780_2,tr_gene:WBGene00006780_4,3,11,0,1.0,0.0,IV:6003252:6003327:+|IV:6003538:6003878:+|IV:6004024:6004137:+,IV:5975856:5976261:+|IV:5976735:5977609:+|IV:5978407:5978783:+|IV:5979405:5979598:+|IV:5979691:5979880:+|IV:5980151:5981079:+|IV:5981412:5982444:+|IV:5982557:5982623:+|IV:5984446:5984577:+|IV:5984735:5984805:+|IV:5984970:5985102:+,,4,12,0,1.0,0.0,IV:5998253:6003262:+|IV:6003317:6003548:+|IV:6003868:6004034:+|IV:6004127:6004857:+,IV:5975556:5975866:+|IV:5976251:5976745:+|IV:5977599:5978417:+|IV:5978773:5979415:+|IV:5979588:5979701:+|IV:5979870:5980161:+|IV:5981069:5981422:+|IV:5982434:5982567:+|IV:5982613:5984456:+|IV:5984567:5984745:+|IV:5984795:5984980:+|IV:5985092:5985381:+,,4,12,0,1.0,0.0,IV:5998253:6003262:+|IV:6003317:6003548:+|IV:6003868:6004034:+|IV:6004127:6004857:+,IV:5975556:5975866:+|IV:5976251:5976745:+|IV:5977599:5978417:+|IV:5978773:5979415:+|IV:5979588:5979701:+|IV:5979870:5980161:+|IV:5981069:5981422:+|IV:5982434:5982567:+|IV:5982613:5984456:+|IV:5984567:5984745:+|IV:5984795:5984980:+|IV:5985092:5985381:+,,4,12,0,0,0,,,0,6136,5649,11785,11785,1.0,0.0,0,0,0,0,0,0,6136,5649,0,0,0,0,0,0,1
